Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2015,1,10.81199281,7.90836,8.32144,61737,5576,1099
2015,2,10.74565349,7.98757,8.40028,61141,5589,981
2015,3,10.05151122,8.05277,8.4651,58628,5183,710
2015,4,9.500777035,8.10296,8.5149,57269,4856,585
2015,5,9.103763704,8.13736,8.54892,57284,4733,482
2015,6,8.816022687,8.15544,8.56662,56420,4569,405
2015,7,8.447504792,8.15689,8.56769,56348,4478,282
2015,8,8.477042466,8.14164,8.55206,55668,4498,221
2015,9,8.402712984,8.10989,8.51993,55732,4494,189
2015,10,8.275437835,8.06204,8.4717,55272,4418,156
2015,11,7.957686779,7.99875,8.40802,54262,4179,139
2015,12,7.528457117,7.92088,8.32977,53238,3887,121
2015,13,7.402516554,7.82952,8.23803,53009,3825,99
2015,14,7.452178534,7.72594,8.13407,52696,3827,100
2015,15,7.559987889,7.61159,8.01934,52844,3920,75
2015,16,7.494962021,7.48808,7.89545,51608,3805,63
2015,17,7.193098356,7.35712,7.76411,51466,3652,50
2015,18,6.926189047,7.22057,7.62718,51659,3550,28
2015,19,6.899273761,7.08034,7.48656,50672,3474,22
2015,20,6.586656395,6.93838,7.34422,49327,3235,14
2015,21,6.802365341,6.79668,7.20214,49718,3364,18
2015,22,6.523113313,6.65722,7.0623,49041,3189,10
2015,23,6.476251734,6.52194,6.92664,49751,3211,11
2015,24,6.426520597,6.39271,6.79703,49109,3150,6
2015,25,6.525062682,6.27133,6.67527,49057,3197,4
2015,26,6.333048885,6.15946,6.56301,49218,3111,6
2015,27,6.312733814,6.05862,6.4618,48917,3081,7
2015,28,6.169378593,5.97019,6.37298,49227,3030,7
2015,29,6.191810167,5.89534,6.29775,48548,3003,3
2015,30,6.001077542,5.83506,6.23709,48258,2892,4
2015,31,6.125869438,5.79012,6.19177,47732,2920,4
2015,32,5.923671759,5.76107,6.16234,47977,2834,8
2015,33,6.07167926,5.74822,6.14911,48438,2935,6
2015,34,5.996370835,5.75166,6.15217,48496,2903,5
2015,35,6.036163619,5.77123,6.17135,48723,2938,3
2015,36,6.047742094,5.80655,6.20629,48762,2946,3
2015,37,6.154696359,5.85699,6.25636,48857,3001,6
2015,38,6.205817827,5.92174,6.32072,49228,3047,8
2015,39,6.275996312,5.99975,6.39835,48805,3057,6
2015,40,6.302257115,6.08979,6.48801,50950,3197,14
2015,41,6.297411198,6.19047,6.58831,49830,3131,7
2015,42,6.37495806,6.30023,6.69769,50667,3214,16
2015,43,6.311527469,6.4174,6.81449,50384,3163,17
2015,44,6.593299191,6.5402,6.9369,51158,3353,20
2015,45,6.392594932,6.66676,7.06309,50668,3225,14
2015,46,6.517212525,6.79518,7.19113,51387,3336,13
2015,47,6.520040628,6.92352,7.31909,51196,3324,14
2015,48,6.6908993,7.04985,7.44505,51996,3457,22
2015,49,6.624841288,7.17228,7.5671,53556,3528,20
2015,50,6.708846109,7.28896,7.68341,51842,3452,26
2015,51,6.681071246,7.39817,7.79224,52761,3510,15
2015,52,7.521432654,7.49824,7.89195,52490,3917,31
2016,1,7.659353266,7.58769,7.98103,55788,4241,32
2016,2,7.758667267,7.66517,8.05814,55525,4278,30
2016,3,7.391903157,7.72951,8.12211,55182,4043,36
2016,4,7.481207064,7.77974,8.17196,55606,4110,50
2016,5,7.514208686,7.81507,8.20693,54896,4064,61
2016,6,7.30954887,7.83497,8.22646,55106,3935,93
2016,7,7.45540916,7.8391,8.23023,55785,4011,148
2016,8,7.989357243,7.82736,8.21813,54873,4197,187
2016,9,8.053691275,7.79988,8.19029,55875,4243,257
2016,10,8.146207585,7.75703,8.14707,56112,4277,294
2016,11,8.251624986,7.69937,8.08906,54462,4143,351
2016,12,8.179356774,7.62771,8.01704,54662,4176,295
2016,13,7.748700817,7.54303,7.93201,53880,3893,282
2016,14,7.759035253,7.44652,7.83514,54066,3945,250
2016,15,7.640680501,7.33953,7.7278,53490,3891,196
2016,16,7.209919284,7.22355,7.61148,53149,3684,148
2016,17,6.908107473,7.10022,7.4878,51027,3398,127
2016,18,6.814901502,6.97127,7.3585,51270,3403,91
2016,19,6.498039216,6.8385,7.22538,51000,3240,74
2016,20,6.586221245,6.70377,7.09032,50469,3290,34
2016,21,6.395325807,6.56898,6.95518,50490,3199,30
2016,22,6.119369958,6.436,6.82187,49711,3025,17
2016,23,6.394615061,6.3067,6.69223,49917,3175,17
2016,24,5.886595873,6.18287,6.56807,49910,2920,18
2016,25,5.81988191,6.06623,6.4511,49623,2876,12
2016,26,5.877859526,5.95839,6.34293,49746,2914,10
2016,27,5.883536561,5.86084,6.24505,49698,2914,10
2016,28,5.906883978,5.77491,6.1588,49637,2926,6
2016,29,5.625570776,5.70175,6.08532,49275,2767,5
2016,30,5.652138919,5.64235,6.0256,49698,2804,5
2016,31,5.752954247,5.59749,5.98042,49505,2846,2
2016,32,5.687575392,5.56772,5.95033,49740,2827,2
2016,33,5.76602622,5.55339,5.9357,49809,2867,5
2016,34,5.722191925,5.55464,5.93664,49509,2827,6
2016,35,5.797159916,5.57136,5.95305,49576,2869,5
2016,36,5.763354968,5.60322,5.9846,50075,2881,5
2016,37,6.212561354,5.64968,6.03077,49915,3093,8
2016,38,6.067046275,5.70999,6.09078,49876,3017,9
2016,39,5.963704382,5.78321,6.1637,50254,2986,11
2016,40,5.918287938,5.86819,6.24839,51400,3024,18
2016,41,6.146880516,5.96364,6.34355,52124,3193,11
2016,42,6.192161132,6.06811,6.44773,51436,3178,7
2016,43,6.067792689,6.18001,6.55934,51864,3130,17
2016,44,6.022303396,6.29766,6.67671,51741,3100,16
2016,45,6.141954154,6.41931,6.79807,52524,3207,19
2016,46,5.98592867,6.54313,6.92161,53442,3192,7
2016,47,6.168122271,6.66727,7.04548,53128,3255,22
2016,48,6.503229595,6.7899,7.16782,54496,3510,34
2016,49,6.61854062,6.90918,7.28683,55133,3616,33
2016,50,6.831377173,7.02334,7.40071,55977,3778,46
2016,51,6.753562862,7.1307,7.50779,56696,3737,92
2016,52,7.39763595,7.22964,7.60647,57613,4105,157
2017,1,8.110369292,7.31872,7.69527,59763,4558,289
2017,2,7.991144638,7.39659,7.77287,60980,4505,368
2017,3,8.422579394,7.46211,7.83812,59293,4621,373
2017,4,8.258824746,7.51428,7.89002,58047,4427,367
2017,5,8.219811062,7.55233,7.9278,58432,4452,351
2017,6,8.242149124,7.57567,7.95088,59038,4447,419
2017,7,8.488517246,7.58394,7.95888,58479,4419,545
2017,8,8.533488883,7.57699,7.95167,58288,4369,605
2017,9,8.372921615,7.55489,7.9293,57256,4260,534
2017,10,8.168484785,7.51794,7.89208,57477,4223,472
2017,11,7.900310647,7.46664,7.84052,56656,4100,376
2017,12,7.73073889,7.4017,7.77532,57045,4091,319
2017,13,7.575893578,7.32404,7.69739,55703,3887,333
2017,14,7.409354605,7.23475,7.60783,55160,3821,266
2017,15,7.261989391,7.13508,7.5079,54861,3776,208
2017,16,6.87959299,7.02645,7.39901,53070,3489,162
2017,17,6.657284924,6.9104,7.28269,53295,3458,90
2017,18,6.401807927,6.78855,7.16058,52657,3308,63
2017,19,6.282581514,6.66265,7.03441,51985,3216,50
2017,20,6.200457317,6.53446,6.90595,52480,3201,53
2017,21,6.111198305,6.40579,6.77702,50972,3091,24
2017,22,5.934914937,6.27847,6.64943,51256,3019,23
2017,23,6.114590221,6.15427,6.52496,51418,3127,17
2017,24,6.079099159,6.03495,6.40538,50797,3069,19
2017,25,5.854087313,5.92218,6.29233,51195,2982,15
2017,26,5.855740166,5.81753,6.18741,50617,2954,10
2017,27,5.577032516,5.72244,6.09206,50959,2824,18
2017,28,6.10529686,5.63825,6.00759,49973,3047,4
2017,29,5.515989387,5.56609,5.93515,50127,2755,10
2017,30,5.785827155,5.50694,5.87573,49362,2853,3
2017,31,5.388623795,5.46159,5.8301,50087,2695,4
2017,32,5.430260565,5.43062,5.79885,50237,2722,6
2017,33,5.380093654,5.4144,5.78236,50185,2689,11
2017,34,5.579901852,5.41311,5.78078,49517,2756,7
2017,35,5.356861819,5.42667,5.79406,50832,2716,7
2017,36,5.565036584,5.45482,5.82193,50979,2825,12
2017,37,5.85754633,5.49707,5.8639,51694,3021,7
2017,38,5.760409143,5.55275,5.91928,51229,2935,16
2017,39,5.662031086,5.62096,5.98721,51342,2888,19
2017,40,5.830310707,5.70065,6.06661,52107,3022,16
2017,41,5.85338426,5.79059,6.15625,51577,3001,18
2017,42,6.097047222,5.8894,6.25477,52222,3156,28
2017,43,6.284376606,5.99559,6.36067,52543,3279,23
2017,44,6.05772635,6.10756,6.47234,53667,3215,36
2017,45,6.057475582,6.2236,6.58809,53240,3180,45
2017,46,6.258485688,6.34199,6.70619,53767,3315,50
2017,47,6.005173688,6.46095,6.82485,54120,3202,48
2017,48,6.530314098,6.5787,6.94229,54760,3493,83
2017,49,6.558143718,6.69347,7.05677,55595,3528,118
2017,50,6.839811748,6.80356,7.16656,57370,3759,165
2017,51,7.303587934,6.90732,7.27001,59505,3987,359
2017,52,8.330332297,7.00321,7.36559,61090,4418,671
2018,1,9.55786736,7.08978,7.45186,66134,5156,1165
2018,2,10.54744796,7.16574,7.52752,67495,5583,1536
2018,3,10.88681609,7.22996,7.59144,64647,5412,1626
2018,4,10.56865244,7.28147,7.64264,62780,5187,1448
2018,5,10.22895004,7.31948,7.68034,60974,4877,1360
2018,6,9.707085583,7.3434,7.70396,61110,4689,1243
2018,7,9.665601633,7.35286,7.71311,59779,4599,1179
2018,8,9.201806447,7.34769,7.70763,57793,4426,892
2018,9,8.435052565,7.32792,7.68756,56692,4044,738
2018,10,8.000980856,7.29381,7.65314,57093,4061,507
2018,11,7.62880375,7.24582,7.60484,56326,3853,444
2018,12,7.420291934,7.18461,7.54332,55766,3793,345
2018,13,7.398302924,7.11102,7.46942,54918,3779,284
2018,14,7.230440916,7.02609,7.38418,55294,3698,300
2018,15,6.887810531,6.931,7.28878,55228,3590,214
2018,16,6.628668715,6.82708,7.18455,54038,3429,153
2018,17,6.538611871,6.71581,7.07297,53727,3394,119
2018,18,6.148006178,6.59873,6.95558,53741,3198,106
2018,19,5.920736973,6.4775,6.83404,52105,3032,53
2018,20,5.922794263,6.35382,6.71005,50618,2955,43
2018,21,5.845392605,6.22942,6.58534,50929,2951,26
2018,22,5.74199236,6.10604,6.46165,51045,2905,26
2018,23,5.619122709,5.98541,6.34071,52001,2908,14
2018,24,5.738805535,5.8692,6.2242,51387,2935,14
2018,25,5.626518298,5.75904,6.11373,51044,2865,7
2018,26,5.65726084,5.65645,6.01082,50855,2868,9
2018,27,5.376905812,5.56283,5.9169,51684,2769,10
2018,28,5.442362915,5.47947,5.83324,51191,2781,5
2018,29,5.362682527,5.4075,5.76096,50609,2706,8
2018,30,5.388471178,5.34788,5.70103,50274,2697,12
2018,31,5.262950017,5.30138,5.65423,50637,2661,4
2018,32,5.264190555,5.26861,5.62115,50967,2673,10
2018,33,5.212620027,5.24995,5.60219,50301,2617,5
2018,34,5.396460493,5.24559,5.59752,50459,2713,10
2018,35,5.208353915,5.25551,5.60714,50611,2630,6
2018,36,5.477246069,5.27948,5.6308,50299,2749,6
2018,37,5.42059002,5.31706,5.66809,51083,2761,8
2018,38,5.486303627,5.36765,5.71837,51583,2819,11
2018,39,5.54955945,5.43041,5.78083,50959,2814,14
2018,40,5.689783601,5.50436,5.85449,52357,2969,10
2018,41,5.550733862,5.58836,5.93819,51849,2866,12
2018,42,5.67205874,5.68112,6.03065,52979,2987,18
2018,43,5.745587114,5.78121,6.13044,53763,3065,24
2018,44,5.645251501,5.88712,6.23606,53638,3003,25
2018,45,5.694441851,5.99725,6.34589,53561,3020,30
2018,46,5.79180226,6.10995,6.45829,54698,3142,26
2018,47,5.850821376,6.2235,6.57155,54847,3178,31
2018,48,6.038866691,6.33623,6.68398,55060,3287,38
2018,49,6.173280683,6.44643,6.79388,55967,3399,56
2018,50,6.389770692,6.55245,6.89962,56387,3552,51
2018,51,6.329606567,6.65273,6.9996,56528,3490,88
2018,52,6.739727983,6.74575,7.09232,56026,3635,141
2019,1,7.081710727,6.83012,7.1764,58291,3917,211
2019,2,7.394903258,6.90458,7.25058,58351,4056,259
2019,3,7.45781352,6.96802,7.31372,58194,4094,246
2019,4,7.20818853,7.01947,7.36488,57837,3894,275
2019,5,7.249518304,7.05816,7.40328,58128,3888,326
2019,6,7.274499077,7.08348,7.42831,58492,3890,365
2019,7,7.548733533,7.09504,7.43959,57917,3890,482
2019,8,7.686058972,7.09264,7.4369,57858,3973,474
2019,9,7.37051105,7.07628,7.42024,57920,3753,516
2019,10,7.334587109,7.04616,7.38984,58490,3746,544
2019,11,7.756773569,7.00268,7.34607,57872,3979,510
2019,12,7.486818365,6.94644,7.28954,57087,3795,479
2019,13,7.361660079,6.87822,7.22103,56672,3713,459
2019,14,7.021821716,6.79897,7.14149,56595,3634,340
2019,15,6.759558015,6.70979,7.05202,55477,3447,303
2019,16,6.631650475,6.61193,6.95388,54451,3411,200
2019,17,6.386470007,6.50678,6.84844,53629,3269,156
2019,18,6.151451706,6.39581,6.73718,53971,3223,97
2019,19,6.165818617,6.28057,6.62166,53456,3228,68
2019,20,5.98121417,6.16269,6.50349,53551,3153,50
2019,21,5.923013862,6.04382,6.38434,53672,3149,30
2019,22,5.973321189,5.92562,6.26585,52701,3119,29
2019,23,5.766841134,5.80976,6.1497,53114,3042,21
2019,24,5.597993387,5.69783,6.03749,52626,2930,16
2019,25,5.668643581,5.59141,5.93078,52270,2950,13
2019,26,5.580147552,5.49196,5.83105,52185,2897,15
2019,27,5.484740192,5.40087,5.73967,52327,2857,13
2019,28,5.356833285,5.31936,5.65788,51915,2770,11
2019,29,5.199837263,5.24856,5.5868,51617,2678,6
2019,30,5.363197768,5.18942,5.52736,51611,2760,8
2019,31,5.331204486,5.1427,5.48036,51358,2732,6
2019,32,5.119169781,5.10902,5.4464,51649,2637,7
2019,33,5.124278478,5.08877,5.42587,50934,2602,8
2019,34,5.103101886,5.08218,5.41899,50969,2595,6
2019,35,5.134225562,5.08927,5.42579,51108,2611,13
2019,36,5.002317676,5.10984,5.44608,51776,2578,12
2019,37,4.902227051,5.14352,5.47947,51548,2511,16
2019,38,5.265704223,5.18975,5.52542,51674,2706,15
2019,39,5.292833412,5.25223,5.5879,52675,2773,15
2019,40,5.190126751,5.32572,5.66139,52465,2707,16
2019,41,5.269529034,5.40917,5.74484,52870,2770,16
2019,42,5.533494635,5.50139,5.83706,54143,2978,18
2019,43,5.593264345,5.60106,5.93673,53922,2986,30
2019,44,5.442592593,5.70676,6.04243,54000,2908,31
2019,45,5.576375626,5.81696,6.15263,55502,3064,31
2019,46,5.629049918,5.9301,6.26578,55711,3097,39
2019,47,5.435597273,6.04456,6.38023,56038,2996,50
2019,48,5.507807552,6.15868,6.49435,55267,2979,65
2019,49,5.971876425,6.27084,6.60651,57034,3307,99
2019,50,6.216088906,6.37943,6.7151,57319,3452,111
2019,51,6.089547008,6.4829,6.81857,57065,3350,125
2019,52,6.33903502,6.57975,6.91543,58053,3482,198
2020,1,7.494034221,6.66862,7.00429,59087,4011,417
2020,2,7.54340586,6.74822,7.08389,59151,4007,455
2020,3,7.563871147,6.81743,7.1531,57616,3913,445
2020,4,7.412280702,6.87525,7.21092,57000,3755,470
2020,5,7.228937015,6.92088,7.25655,56426,3626,453
2020,6,7.217092097,6.95365,7.28932,56962,3624,487
2020,7,7.36857148,6.97313,7.3088,55981,3627,498
2020,8,7.200778463,6.97903,7.3147,55494,3480,516
2020,9,7.447933764,6.9713,7.30697,54834,3501,583
2020,10,7.664752479,6.95007,7.28574,54157,3590,561
2020,11,7.860454424,6.91565,7.25132,52198,3553,550
2020,12,8.567497384,6.86857,7.20424,51602,3947,474
2020,13,10.27254471,6.80952,7.14519,52285,5016,355
2020,14,12.90067354,6.73938,7.07505,49292,6017,342
2020,15,11.87156891,6.65918,6.99485,27688,3081,206
